2025-05-02 01:15:26,010 - INFO - Epoch: 0, Iter: 0/1, NLL: 18.6082, Reg term: 0.000, Total Grad Norm: 97.561590
2025-05-02 01:21:00,091 - INFO - Epoch: 1, Iter: 0/1, NLL: 18.5794, Reg term: 0.000, Total Grad Norm: 95.788334
2025-05-02 01:22:10,490 - INFO - Epoch: 2, Iter: 0/1, NLL: 18.5329, Reg term: 0.000, Total Grad Norm: 91.817888
2025-05-02 01:23:18,418 - INFO - Epoch: 3, Iter: 0/1, NLL: 18.4876, Reg term: 0.000, Total Grad Norm: 89.615020
2025-05-02 01:24:34,602 - INFO - Epoch: 4, Iter: 0/1, NLL: 18.4597, Reg term: 0.000, Total Grad Norm: 91.966058
2025-05-02 01:25:38,652 - INFO - Epoch: 5, Iter: 0/1, NLL: 18.4301, Reg term: 0.000, Total Grad Norm: 87.390626
2025-05-02 01:26:42,533 - INFO - Epoch: 6, Iter: 0/1, NLL: 18.3890, Reg term: 0.000, Total Grad Norm: 88.683189
2025-05-02 01:27:39,187 - INFO - Epoch: 7, Iter: 0/1, NLL: 18.3603, Reg term: 0.000, Total Grad Norm: 79.049923
2025-05-02 01:28:58,051 - INFO - Epoch: 8, Iter: 0/1, NLL: 18.3229, Reg term: 0.000, Total Grad Norm: 84.343485
2025-05-02 01:30:20,284 - INFO - Epoch: 9, Iter: 0/1, NLL: 18.2884, Reg term: 0.000, Total Grad Norm: 82.496501
2025-05-02 01:31:33,665 - INFO - Epoch: 10, Iter: 0/1, NLL: 18.2445, Reg term: 0.000, Total Grad Norm: 83.085186
2025-05-02 01:32:59,029 - INFO - Epoch: 11, Iter: 0/1, NLL: 18.2015, Reg term: 0.000, Total Grad Norm: 82.172744
2025-05-02 01:34:26,555 - INFO - Epoch: 12, Iter: 0/1, NLL: 18.1714, Reg term: 0.000, Total Grad Norm: 81.520588
2025-05-02 01:35:59,766 - INFO - Epoch: 13, Iter: 0/1, NLL: 18.1479, Reg term: 0.000, Total Grad Norm: 79.169023
2025-05-02 01:37:27,731 - INFO - Epoch: 14, Iter: 0/1, NLL: 18.1036, Reg term: 0.000, Total Grad Norm: 78.999467
2025-05-02 01:38:56,275 - INFO - Epoch: 15, Iter: 0/1, NLL: 18.0363, Reg term: 0.000, Total Grad Norm: 78.486352
2025-05-02 01:40:11,415 - INFO - Epoch: 16, Iter: 0/1, NLL: 17.9459, Reg term: 0.000, Total Grad Norm: 84.749466
