2025-04-25 13:50:55,367 - INFO - Epoch: 0, Iter: 0/1, NLL: 17.7992, Reg term: 0.000, Total Grad Norm: 9.429324
2025-04-25 13:51:15,004 - INFO - Epoch: 1, Iter: 0/1, NLL: 17.7456, Reg term: 0.000, Total Grad Norm: 9.116770
2025-04-25 13:51:18,112 - INFO - Epoch: 2, Iter: 0/1, NLL: 17.6759, Reg term: 0.000, Total Grad Norm: 21.479756
2025-04-25 13:51:21,361 - INFO - Epoch: 3, Iter: 0/1, NLL: 17.6087, Reg term: 0.000, Total Grad Norm: 11.280744
2025-04-25 13:51:24,870 - INFO - Epoch: 4, Iter: 0/1, NLL: 17.5370, Reg term: 0.000, Total Grad Norm: 13.365047
2025-04-25 13:51:28,041 - INFO - Epoch: 5, Iter: 0/1, NLL: 17.4552, Reg term: 0.000, Total Grad Norm: 15.523552
2025-04-25 13:51:32,448 - INFO - Epoch: 6, Iter: 0/1, NLL: 17.3635, Reg term: 0.000, Total Grad Norm: 17.673599
2025-04-25 13:51:35,540 - INFO - Epoch: 7, Iter: 0/1, NLL: 17.2599, Reg term: 0.000, Total Grad Norm: 19.092633
2025-04-25 13:51:38,101 - INFO - Epoch: 8, Iter: 0/1, NLL: 17.1497, Reg term: 0.000, Total Grad Norm: 20.757520
2025-04-25 13:51:40,885 - INFO - Epoch: 9, Iter: 0/1, NLL: 17.0306, Reg term: 0.000, Total Grad Norm: 21.938027
2025-04-25 13:51:44,614 - INFO - Epoch: 10, Iter: 0/1, NLL: 16.9013, Reg term: 0.000, Total Grad Norm: 24.693341
2025-04-25 13:51:47,408 - INFO - Epoch: 11, Iter: 0/1, NLL: 16.7544, Reg term: 0.000, Total Grad Norm: 28.080296
2025-04-25 13:51:50,803 - INFO - Epoch: 12, Iter: 0/1, NLL: 16.5974, Reg term: 0.000, Total Grad Norm: 28.282140
2025-04-25 13:51:54,122 - INFO - Epoch: 13, Iter: 0/1, NLL: 16.4421, Reg term: 0.000, Total Grad Norm: 26.160653
2025-04-25 13:51:57,666 - INFO - Epoch: 14, Iter: 0/1, NLL: 16.2913, Reg term: 0.000, Total Grad Norm: 25.565376
2025-04-25 13:52:00,514 - INFO - Epoch: 15, Iter: 0/1, NLL: 16.1458, Reg term: 0.000, Total Grad Norm: 24.160169
2025-04-25 13:52:03,787 - INFO - Epoch: 16, Iter: 0/1, NLL: 16.0061, Reg term: 0.000, Total Grad Norm: 24.541937
2025-04-25 13:52:06,680 - INFO - Epoch: 17, Iter: 0/1, NLL: 15.8616, Reg term: 0.000, Total Grad Norm: 26.160293
2025-04-25 13:52:11,245 - INFO - Epoch: 18, Iter: 0/1, NLL: 15.7048, Reg term: 0.000, Total Grad Norm: 25.991819
2025-04-25 13:52:15,061 - INFO - Epoch: 19, Iter: 0/1, NLL: 15.5575, Reg term: 0.000, Total Grad Norm: 21.965640
2025-04-25 13:52:19,841 - INFO - Epoch: 20, Iter: 0/1, NLL: 15.4227, Reg term: 0.000, Total Grad Norm: 21.147382
2025-04-25 13:52:41,645 - INFO - Epoch: 21, Iter: 0/1, NLL: 15.2845, Reg term: 0.000, Total Grad Norm: 22.167032
2025-04-25 13:52:45,136 - INFO - Epoch: 22, Iter: 0/1, NLL: 15.1440, Reg term: 0.000, Total Grad Norm: 22.406520
2025-04-25 13:52:48,351 - INFO - Epoch: 23, Iter: 0/1, NLL: 15.0021, Reg term: 0.000, Total Grad Norm: 22.260973
2025-04-25 13:52:51,428 - INFO - Epoch: 24, Iter: 0/1, NLL: 14.8638, Reg term: 0.000, Total Grad Norm: 21.194362
2025-04-25 13:52:55,139 - INFO - Epoch: 25, Iter: 0/1, NLL: 14.7306, Reg term: 0.000, Total Grad Norm: 20.314121
2025-04-25 13:52:59,433 - INFO - Epoch: 26, Iter: 0/1, NLL: 14.6050, Reg term: 0.000, Total Grad Norm: 18.479968
2025-04-25 13:53:02,916 - INFO - Epoch: 27, Iter: 0/1, NLL: 14.4963, Reg term: 0.000, Total Grad Norm: 16.001200
2025-04-25 13:53:06,731 - INFO - Epoch: 28, Iter: 0/1, NLL: 14.4070, Reg term: 0.000, Total Grad Norm: 14.872153
2025-04-25 13:53:09,954 - INFO - Epoch: 29, Iter: 0/1, NLL: 14.3338, Reg term: 0.000, Total Grad Norm: 15.076376
2025-04-25 13:53:15,713 - INFO - Epoch: 30, Iter: 0/1, NLL: 14.2717, Reg term: 0.000, Total Grad Norm: 15.645841
2025-04-25 13:53:19,648 - INFO - Epoch: 31, Iter: 0/1, NLL: 14.2098, Reg term: 0.000, Total Grad Norm: 15.437448
2025-04-25 13:53:22,586 - INFO - Epoch: 32, Iter: 0/1, NLL: 14.1452, Reg term: 0.000, Total Grad Norm: 14.986367
2025-04-25 13:53:25,717 - INFO - Epoch: 33, Iter: 0/1, NLL: 14.0778, Reg term: 0.000, Total Grad Norm: 14.559268
2025-04-25 13:53:28,980 - INFO - Epoch: 34, Iter: 0/1, NLL: 14.0080, Reg term: 0.000, Total Grad Norm: 14.161250
2025-04-25 13:53:31,923 - INFO - Epoch: 35, Iter: 0/1, NLL: 13.9376, Reg term: 0.000, Total Grad Norm: 13.788850
2025-04-25 13:53:34,983 - INFO - Epoch: 36, Iter: 0/1, NLL: 13.8669, Reg term: 0.000, Total Grad Norm: 13.433268
2025-04-25 13:53:38,364 - INFO - Epoch: 37, Iter: 0/1, NLL: 13.7955, Reg term: 0.000, Total Grad Norm: 13.094782
2025-04-25 13:53:42,375 - INFO - Epoch: 38, Iter: 0/1, NLL: 13.7246, Reg term: 0.000, Total Grad Norm: 12.782026
