2025-05-02 01:05:32,796 - INFO - Epoch: 0, Iter: 0/1, NLL: 17.5263, Reg term: 0.000, Total Grad Norm: 46.835480
2025-05-02 01:07:31,583 - INFO - Epoch: 1, Iter: 0/1, NLL: 17.4213, Reg term: 0.000, Total Grad Norm: 45.610980
2025-05-02 01:07:55,119 - INFO - Epoch: 2, Iter: 0/1, NLL: 17.3165, Reg term: 0.000, Total Grad Norm: 47.504837
2025-05-02 01:08:17,292 - INFO - Epoch: 3, Iter: 0/1, NLL: 17.2122, Reg term: 0.000, Total Grad Norm: 44.404955
2025-05-02 01:08:47,381 - INFO - Epoch: 4, Iter: 0/1, NLL: 17.1074, Reg term: 0.000, Total Grad Norm: 44.601059
2025-05-02 01:09:18,065 - INFO - Epoch: 5, Iter: 0/1, NLL: 17.0035, Reg term: 0.000, Total Grad Norm: 43.581464
2025-05-02 01:09:53,116 - INFO - Epoch: 6, Iter: 0/1, NLL: 16.8999, Reg term: 0.000, Total Grad Norm: 44.617670
2025-05-02 01:10:21,804 - INFO - Epoch: 7, Iter: 0/1, NLL: 16.7965, Reg term: 0.000, Total Grad Norm: 42.946883
2025-05-02 01:10:56,590 - INFO - Epoch: 8, Iter: 0/1, NLL: 16.6939, Reg term: 0.000, Total Grad Norm: 43.925089
2025-05-02 01:11:28,729 - INFO - Epoch: 9, Iter: 0/1, NLL: 16.5912, Reg term: 0.000, Total Grad Norm: 43.904436
2025-05-02 01:12:26,195 - INFO - Epoch: 10, Iter: 0/1, NLL: 16.4900, Reg term: 0.000, Total Grad Norm: 44.480012
2025-05-02 01:13:26,483 - INFO - Epoch: 11, Iter: 0/1, NLL: 16.3893, Reg term: 0.000, Total Grad Norm: 43.704836
2025-05-02 01:14:06,192 - INFO - Epoch: 12, Iter: 0/1, NLL: 16.2892, Reg term: 0.000, Total Grad Norm: 43.812212
2025-05-02 01:14:54,327 - INFO - Epoch: 13, Iter: 0/1, NLL: 16.1902, Reg term: 0.000, Total Grad Norm: 42.006670
2025-05-02 01:15:31,626 - INFO - Epoch: 14, Iter: 0/1, NLL: 16.0919, Reg term: 0.000, Total Grad Norm: 42.047075
2025-05-02 01:16:12,983 - INFO - Epoch: 15, Iter: 0/1, NLL: 15.9950, Reg term: 0.000, Total Grad Norm: 43.884097
2025-05-02 01:16:57,879 - INFO - Epoch: 16, Iter: 0/1, NLL: 15.8995, Reg term: 0.000, Total Grad Norm: 41.558557
