2025-05-02 01:09:18,363 - INFO - Epoch: 0, Iter: 0/1, NLL: 17.8836, Reg term: 0.000, Total Grad Norm: 43.486320
2025-05-02 01:13:44,807 - INFO - Epoch: 1, Iter: 0/1, NLL: 17.7496, Reg term: 0.000, Total Grad Norm: 47.709813
2025-05-02 01:14:22,829 - INFO - Epoch: 2, Iter: 0/1, NLL: 17.6011, Reg term: 0.000, Total Grad Norm: 45.145334
2025-05-02 01:15:34,863 - INFO - Epoch: 3, Iter: 0/1, NLL: 17.4627, Reg term: 0.000, Total Grad Norm: 43.180193
2025-05-02 01:16:15,613 - INFO - Epoch: 4, Iter: 0/1, NLL: 17.3316, Reg term: 0.000, Total Grad Norm: 44.005521
2025-05-02 01:17:07,978 - INFO - Epoch: 5, Iter: 0/1, NLL: 17.1958, Reg term: 0.000, Total Grad Norm: 42.300915
2025-05-02 01:17:54,988 - INFO - Epoch: 6, Iter: 0/1, NLL: 17.0558, Reg term: 0.000, Total Grad Norm: 46.617859
2025-05-02 01:19:04,614 - INFO - Epoch: 7, Iter: 0/1, NLL: 16.8914, Reg term: 0.000, Total Grad Norm: 53.565031
2025-05-02 01:19:56,000 - INFO - Epoch: 8, Iter: 0/1, NLL: 16.7212, Reg term: 0.000, Total Grad Norm: 45.539763
2025-05-02 01:20:41,850 - INFO - Epoch: 9, Iter: 0/1, NLL: 16.5718, Reg term: 0.000, Total Grad Norm: 47.275219
2025-05-02 01:21:27,676 - INFO - Epoch: 10, Iter: 0/1, NLL: 16.4249, Reg term: 0.000, Total Grad Norm: 47.261173
2025-05-02 01:22:14,277 - INFO - Epoch: 11, Iter: 0/1, NLL: 16.2757, Reg term: 0.000, Total Grad Norm: 47.589580
2025-05-02 01:23:00,387 - INFO - Epoch: 12, Iter: 0/1, NLL: 16.1217, Reg term: 0.000, Total Grad Norm: 46.859681
2025-05-02 01:23:36,592 - INFO - Epoch: 13, Iter: 0/1, NLL: 15.9695, Reg term: 0.000, Total Grad Norm: 45.035035
2025-05-02 01:24:13,016 - INFO - Epoch: 14, Iter: 0/1, NLL: 15.8252, Reg term: 0.000, Total Grad Norm: 47.721339
2025-05-02 01:24:56,325 - INFO - Epoch: 15, Iter: 0/1, NLL: 15.6875, Reg term: 0.000, Total Grad Norm: 42.002296
2025-05-02 01:25:36,123 - INFO - Epoch: 16, Iter: 0/1, NLL: 15.5504, Reg term: 0.000, Total Grad Norm: 44.680590
2025-05-02 01:26:20,878 - INFO - Epoch: 17, Iter: 0/1, NLL: 15.4124, Reg term: 0.000, Total Grad Norm: 42.659670
2025-05-02 01:27:02,702 - INFO - Epoch: 18, Iter: 0/1, NLL: 15.2783, Reg term: 0.000, Total Grad Norm: 42.311260
2025-05-02 01:27:40,468 - INFO - Epoch: 19, Iter: 0/1, NLL: 15.1507, Reg term: 0.000, Total Grad Norm: 39.527378
2025-05-02 01:28:13,370 - INFO - Epoch: 20, Iter: 0/1, NLL: 15.0276, Reg term: 0.000, Total Grad Norm: 43.082673
2025-05-02 01:31:46,012 - INFO - Epoch: 21, Iter: 0/1, NLL: 14.9071, Reg term: 0.000, Total Grad Norm: 43.678495
2025-05-02 01:32:14,999 - INFO - Epoch: 22, Iter: 0/1, NLL: 14.7891, Reg term: 0.000, Total Grad Norm: 42.377890
2025-05-02 01:32:48,912 - INFO - Epoch: 23, Iter: 0/1, NLL: 14.6752, Reg term: 0.000, Total Grad Norm: 40.305906
2025-05-02 01:33:26,877 - INFO - Epoch: 24, Iter: 0/1, NLL: 14.5654, Reg term: 0.000, Total Grad Norm: 34.461656
2025-05-02 01:34:04,829 - INFO - Epoch: 25, Iter: 0/1, NLL: 14.4594, Reg term: 0.000, Total Grad Norm: 38.527681
2025-05-02 01:34:55,347 - INFO - Epoch: 26, Iter: 0/1, NLL: 14.3557, Reg term: 0.000, Total Grad Norm: 37.695439
2025-05-02 01:35:37,895 - INFO - Epoch: 27, Iter: 0/1, NLL: 14.2539, Reg term: 0.000, Total Grad Norm: 37.407982
2025-05-02 01:36:31,333 - INFO - Epoch: 28, Iter: 0/1, NLL: 14.1551, Reg term: 0.000, Total Grad Norm: 33.776817
2025-05-02 01:37:48,571 - INFO - Epoch: 29, Iter: 0/1, NLL: 14.0579, Reg term: 0.000, Total Grad Norm: 35.921808
2025-05-02 01:39:12,913 - INFO - Epoch: 30, Iter: 0/1, NLL: 13.9629, Reg term: 0.000, Total Grad Norm: 36.513006
2025-05-02 01:40:14,284 - INFO - Epoch: 31, Iter: 0/1, NLL: 13.8705, Reg term: 0.000, Total Grad Norm: 33.173550
2025-05-02 01:41:22,573 - INFO - Epoch: 32, Iter: 0/1, NLL: 13.7816, Reg term: 0.000, Total Grad Norm: 30.500358
2025-05-02 01:42:17,749 - INFO - Epoch: 33, Iter: 0/1, NLL: 13.6979, Reg term: 0.000, Total Grad Norm: 34.156726
2025-05-02 01:43:02,231 - INFO - Epoch: 34, Iter: 0/1, NLL: 13.6202, Reg term: 0.000, Total Grad Norm: 29.557942
2025-05-02 01:43:42,768 - INFO - Epoch: 35, Iter: 0/1, NLL: 13.5486, Reg term: 0.000, Total Grad Norm: 29.044141
2025-05-02 01:44:25,873 - INFO - Epoch: 36, Iter: 0/1, NLL: 13.4835, Reg term: 0.000, Total Grad Norm: 29.322554
2025-05-02 01:45:03,841 - INFO - Epoch: 37, Iter: 0/1, NLL: 13.4243, Reg term: 0.000, Total Grad Norm: 27.971542
2025-05-02 01:46:59,237 - INFO - Epoch: 38, Iter: 0/1, NLL: 13.3697, Reg term: 0.000, Total Grad Norm: 24.106547
2025-05-02 01:47:43,290 - INFO - Epoch: 39, Iter: 0/1, NLL: 13.3201, Reg term: 0.000, Total Grad Norm: 25.338546
2025-05-02 01:48:26,274 - INFO - Epoch: 40, Iter: 0/1, NLL: 13.2746, Reg term: 0.000, Total Grad Norm: 24.236108
2025-05-02 01:52:28,446 - INFO - Epoch: 41, Iter: 0/1, NLL: 13.2330, Reg term: 0.000, Total Grad Norm: 27.241356
2025-05-02 01:53:08,959 - INFO - Epoch: 42, Iter: 0/1, NLL: 13.1943, Reg term: 0.000, Total Grad Norm: 23.703510
2025-05-02 01:53:49,258 - INFO - Epoch: 43, Iter: 0/1, NLL: 13.1586, Reg term: 0.000, Total Grad Norm: 24.998058
2025-05-02 01:54:29,358 - INFO - Epoch: 44, Iter: 0/1, NLL: 13.1257, Reg term: 0.000, Total Grad Norm: 22.342976
2025-05-02 01:55:09,543 - INFO - Epoch: 45, Iter: 0/1, NLL: 13.0950, Reg term: 0.000, Total Grad Norm: 22.402341
2025-05-02 01:55:48,417 - INFO - Epoch: 46, Iter: 0/1, NLL: 13.0667, Reg term: 0.000, Total Grad Norm: 21.263717
2025-05-02 01:56:25,545 - INFO - Epoch: 47, Iter: 0/1, NLL: 13.0403, Reg term: 0.000, Total Grad Norm: 19.822347
2025-05-02 01:57:05,371 - INFO - Epoch: 48, Iter: 0/1, NLL: 13.0157, Reg term: 0.000, Total Grad Norm: 19.332686
2025-05-02 01:57:43,713 - INFO - Epoch: 49, Iter: 0/1, NLL: 12.9924, Reg term: 0.000, Total Grad Norm: 20.412379
2025-05-02 01:58:26,698 - INFO - Epoch: 50, Iter: 0/1, NLL: 12.9705, Reg term: 0.000, Total Grad Norm: 16.220311
2025-05-02 01:59:07,536 - INFO - Epoch: 51, Iter: 0/1, NLL: 12.9497, Reg term: 0.000, Total Grad Norm: 18.461302
2025-05-02 01:59:42,456 - INFO - Epoch: 52, Iter: 0/1, NLL: 12.9299, Reg term: 0.000, Total Grad Norm: 20.992225
2025-05-02 02:00:21,044 - INFO - Epoch: 53, Iter: 0/1, NLL: 12.9107, Reg term: 0.000, Total Grad Norm: 16.450640
2025-05-02 02:01:00,939 - INFO - Epoch: 54, Iter: 0/1, NLL: 12.8925, Reg term: 0.000, Total Grad Norm: 20.260154
2025-05-02 02:01:37,797 - INFO - Epoch: 55, Iter: 0/1, NLL: 12.8751, Reg term: 0.000, Total Grad Norm: 16.650492
2025-05-02 02:02:18,709 - INFO - Epoch: 56, Iter: 0/1, NLL: 12.8583, Reg term: 0.000, Total Grad Norm: 17.332611
2025-05-02 02:02:55,201 - INFO - Epoch: 57, Iter: 0/1, NLL: 12.8418, Reg term: 0.000, Total Grad Norm: 16.222433
2025-05-02 02:03:40,176 - INFO - Epoch: 58, Iter: 0/1, NLL: 12.8261, Reg term: 0.000, Total Grad Norm: 16.434193
2025-05-02 02:04:26,346 - INFO - Epoch: 59, Iter: 0/1, NLL: 12.8112, Reg term: 0.000, Total Grad Norm: 18.309011
2025-05-02 02:05:09,519 - INFO - Epoch: 60, Iter: 0/1, NLL: 12.7966, Reg term: 0.000, Total Grad Norm: 16.110048
2025-05-02 02:08:56,802 - INFO - Epoch: 61, Iter: 0/1, NLL: 12.7826, Reg term: 0.000, Total Grad Norm: 13.933555
2025-05-02 02:09:38,179 - INFO - Epoch: 62, Iter: 0/1, NLL: 12.7689, Reg term: 0.000, Total Grad Norm: 16.368170
2025-05-02 02:10:19,550 - INFO - Epoch: 63, Iter: 0/1, NLL: 12.7556, Reg term: 0.000, Total Grad Norm: 14.662889
2025-05-02 02:10:59,999 - INFO - Epoch: 64, Iter: 0/1, NLL: 12.7426, Reg term: 0.000, Total Grad Norm: 17.961386
2025-05-02 02:11:54,020 - INFO - Epoch: 65, Iter: 0/1, NLL: 12.7299, Reg term: 0.000, Total Grad Norm: 12.659145
2025-05-02 02:12:44,804 - INFO - Epoch: 66, Iter: 0/1, NLL: 12.7177, Reg term: 0.000, Total Grad Norm: 14.908367
2025-05-02 02:13:45,653 - INFO - Epoch: 67, Iter: 0/1, NLL: 12.7057, Reg term: 0.000, Total Grad Norm: 15.237220
2025-05-02 02:15:20,532 - INFO - Epoch: 68, Iter: 0/1, NLL: 12.6939, Reg term: 0.000, Total Grad Norm: 3.516803
2025-05-02 02:16:11,360 - INFO - Epoch: 69, Iter: 0/1, NLL: 12.6829, Reg term: 0.000, Total Grad Norm: 7.856719
2025-05-02 02:16:56,972 - INFO - Epoch: 70, Iter: 0/1, NLL: 12.6722, Reg term: 0.000, Total Grad Norm: 9.732508
2025-05-02 02:17:35,355 - INFO - Epoch: 71, Iter: 0/1, NLL: 12.6616, Reg term: 0.000, Total Grad Norm: 12.706278
2025-05-02 02:18:13,161 - INFO - Epoch: 72, Iter: 0/1, NLL: 12.6512, Reg term: 0.000, Total Grad Norm: 8.945315
2025-05-02 02:18:48,685 - INFO - Epoch: 73, Iter: 0/1, NLL: 12.6411, Reg term: 0.000, Total Grad Norm: 14.144307
2025-05-02 02:19:26,616 - INFO - Epoch: 74, Iter: 0/1, NLL: 12.6310, Reg term: 0.000, Total Grad Norm: 14.889753
2025-05-02 02:20:08,787 - INFO - Epoch: 75, Iter: 0/1, NLL: 12.6211, Reg term: 0.000, Total Grad Norm: 11.604138
